TRQSS Inc ,255 Patillo Road RR 1 Tecumseh ON  Canada,5199737400
TST Tooling Software Technology ,6547 Dixie Hwy Suite 1 Clarkston,2489229293
Unique Tool  Gauge Inc ,1505 Moro Drive Windsor ON  Canada,5197371159
Windsor Mold Group ,444 Hanna St E Windsor ON  Canada,5192583475
Advanced Technology Emission Solutions Inc ,200 Longwood Road South Suite 224 Hamilton ON  Canada,9055802000
AlphaKOR Group ,1670 Mercer Street Windsor ON  Canada,5199446009
American Industries Group ,1 Dundas St W Suite 2110 Toronto ON,6476737676
BDO Canada LLP ,123 Front St W Suite 1200 Toronto ON  Canada,4168650210
City of Brampton ,2 Wellington Street West Brampton ON  Canada,9058742660
CN Rail ,65 Devon Road Brampton ON  Canada,9057894580
City of Brampton ,2 Wellington Street West Brampton ON  Canada,9058742660
CN Rail ,65 Devon Road Brampton ON  Canada,9057894580
Collins Barrow Windsor LLP ,3260 Devon Drive Windsor ON  Canada,5192585800
Combined Metal Industries CMI ,505 Garyray Drive Toronto ON  Canada,4167437730
Aon ,20 Bay Street Toronto ON  Canada,4168685852
CW Bearing Canada Inc ,250 Consumers Road 310 Toronto ON  Canada,4168063283
Arent Fox LLP ,1717 K Street NW,2028578940
AutoForecast Solutions LLC ,243 Byers Road Chester Springs,8557344590
Automotive Centre of Excellence – UOIT ,2000 Simcoe St N Oshawa ON  CANADA,9057218668
EDC – Export Development Canada ,150 Slater Street Ottawa ON  Canada,8002952528
Grande International Services ,1501 S Cage Pharr,9565789808
Group Sector Canada Inc ,1455 Drummond Street Montreal QC  Canada,5147987436
GroupHEALTH Benefit Solutions ,20556 Bryne Drive BarrieON  CANADA,8887193077
Dickinson Wright LLP ,199 Bay St Suite 2200 Commerce Court West Toronto ON  Canada,4167770101
Henkel Canada Corporation ,2515 Meadowpine Blvd Mississauga ON  Canada,8002635043
Dovercourt Management Corporation ,354 Humberline Drive Toronto ON  CANADA,4162131706
HRSflow ,4510 Rhodes Drive Unit 530 Windsor ON  Canada,5199730212
EASi Engineering Services ,350 Burnhamthorpe Rd W Suite 800 Mississauga ON  CANADA,9052831407
EDC – Export Development Canada ,150 Slater Street Ottawa ON  Canada,8002952528
Epicor Software Corporation ,18101 Van Karman Ave Suite 1600 Irvine,9495854000
HRSflow ,4510 Rhodes Drive Unit 530 Windsor ON  Canada,5199730212
EASi Engineering Services ,350 Burnhamthorpe Rd W Suite 800 Mississauga ON  CANADA,9052831407
Italian Chamber of Commerce of Ontario ,622 College St Suite 201F Toronto ON  CANADA,4167897169
Offshore Group The ,8350 E Old Vail Road Tucson,5205746208
KPMG ,4100 Yonge Street Suite 200 Toronto ON  Canada,4162287000
PBL Insurance Limited ,150 Ouellette Place Windsor ON  Canada,5192541633
KUKA Robotics Canada ,6710 Maritz Dr Unit 4 Mississauga ON  Canada,9056708600
Phantom Intelligence Inc ,319 Rue Franquet Les Rivières Ville de Québec CommunautéUrbainedeQuébec QC,4186506518
Laurentian Bank of Canada ,130 Adelaide West Suite 300 Toronto ON  Canada,6472274705
Plex Systems ,900 Tower Dr Suite 1400 Troy,2483918001
McMaster University ,1280 Main St W Hamilton ON  Canada,9055259140
Mentor Works Ltd ,151 Savage Drive Unit 5B Cambridge ON  CANADA,5194978584
Mohawk College ,Box 2034 Fennell Avenue  West 5th Hamilton ON  Canada,9055752417
International SewRight ,6190 Don Murie Street Niagara Falls ON  CANADA,9053743600
Niagara Region – Economic Development ,2201 St Davids Road West 3rd Floor Campbell East Thorold ON  Canada,9059806000
Italian Chamber of Commerce of Ontario ,622 College St Suite 201F Toronto ON  CANADA,4167897169
Offshore Group The ,8350 E Old Vail Road Tucson,5205746208
KPMG ,4100 Yonge Street Suite 200 Toronto ON  Canada,4162287000
PBL Insurance Limited ,150 Ouellette Place Windsor ON  Canada,5192541633
Studio 63 Inc ,2235 Robertson Road Ottawa ON  CANADA,6138684484
University of Waterloo – WatCAR ,Waterloo Centre for Automotive Research 200 University Ave W Waterloo ON  Canada,5198884555
Sherrard Kuzz LLP ,Employment  Labour Lawyers 250 Yonge Street Suite 3300 Toronto ON  Canada,4166030700
University of Windsor ,401 Sunset Avenue Windsor ON  Canada,5192533000
SME ,7100 Woodbine Ave Suite 312 Markham ON  CANADA,9057524415
St Clair College of Applied Arts  Technology ,2000 Talbot Road West Windsor ON  Canada,5199722780
Studio 63 Inc ,2235 Robertson Road Ottawa ON  CANADA,6138684484
Technical Management Consultants Inc ,1608 Sylvester Drive Unit 1 Tecumseh ON  Canada,5197392319
Tianhe Mechanical Manufacturing Co Ltd ,Tieling City Hightech Development Zone Liaoning Province CHINA,862 478861319
Topbin Insurance Solutions ,44 Saltsman Dr 100 Cambridge ON  Canada,8776339566
Rosati Group ,6555 Malden Road Windsor ON  Canada,5197346511
University of Windsor ,401 Sunset Avenue Windsor ON  Canada,5192533000
SME ,7100 Woodbine Ave Suite 312 Markham ON  CANADA,9057524415
St Clair College of Applied Arts  Technology ,2000 Talbot Road West Windsor ON  Canada,5199722780
Studio 63 Inc ,2235 Robertson Road Ottawa ON  CANADA,6138684484
Technical Management Consultants Inc ,1608 Sylvester Drive Unit 1 Tecumseh ON  Canada,5197392319
WindsorEssex Economic Development Corporation ,700 California Ave Suite 200 Windsor ON  Canada,5192559200
Vox ISM Inc ,36 Glengowan Rd Toronto ON  Canada,4164884899
Waterloo EDC ,260 King Street West Suite 201 Kitchener ON  Canada,5197472541 ext 300
Wells Fargo Equipment Finance ,2300 Meadowvale Blvd Mississauga ON  Canada,9058585497
Willis Towers Watson ,175 Bloor Street East South Tower Suite 1701 Toronto ON  Canada,4169607495
ACE – Ontario Tech University ,BLANK,BLANK
Canada Mold Technology Inc ,1075 Ridgeway Rd Woodstock ON,4162521212
Finkl Steel ,1355 E 93rd St Chicago,7739752150
Comoldco Corporation ,137 Arrow Road Guelph ON  Canada,5192243703
Jesse Garant  Associates Metrology Center ,1160 Walker Road Windsor ON  Canada,5199625300
Acerta Analytics Solutions Inc ,151 Charles St W 199 Kitchener ON  Canada,5197997232
Contents Processing Centre ,4500 North Talbot Rd Tecumseh ON  Canada,5197370322
Laval International ,4965 Concession Rd 8 Maidstone ON,5197371323
Blow Mold Tooling Inc ,2376 Lucknow Drive  Mississauga  ON  Canada,9056782341
Elliott – Matsuura Canada Inc ,2120 Buckingham Road Oakville ON  Canada,9058292211
Cavalier Tool  Manufacturing Ltd ,3450 Wheelton Drive Windsor ON  Canada,5199442144
INCOE Corporation ,1740 E Maple Rd Troy,2486160220
Acetronic Industrial Controls Inc ,7015 Ordan Drive Unit 6 Mississauga ON  Canada,9055647227
Cottam Diecasting Limited ,11886 County Road 42 Tecumseh ON  Canada,5199794783
Leemark Enterprises ,29771 Irish School Rd Dresden ON  Canada,5196834184
AGS Automotive Systems ,200 Yorkland Blvd Suite 800 Toronto ON  Canada,4164386650 
Crest Mold Technology Inc ,2055 Blackacre Drive Oldcastle ON  Canada,5197371546
Linamar Corporation ,287 Speedvale Avenue West Guelph ON  Canada,5198367550 
Bowman Precision Tooling ,55 Sinclair Blvd Brantford ON  Canada,5197526533
Enterprise Mold Ltd ,3270 Devon Drive Windsor ON  Canada,5192500707
Cimatron Technologies Inc ,41700 Gardenbrook Suite 100 Novi,2485969700
Integrity Tool and Mold Inc ,3651 Delduca Dr Oldcastle ON  Canada,5197372650
Airbus Helicopters Canada ,1100 Gilmore Road Fort Erie ON  Canada,9058717772
Crystallume ,3397 De La Cruz Blvd Santa Clara,4086531700
Longterm Technology Services Inc ,One London Place 255 Queens Ave Suite 1760 London ON,2267770162
KLG Molds ,16 Tideman Drive Unit 1 Orangeville ON  Canada,5199428388
Arlen Tool Co Ltd ,3305 Deziel Drive Windsor ON  Canada,5199444444
Dynamic Metal Treating Inc ,7784 Ronda Drive Canton Township,7344598022
Matcor Automotive Inc ,1620 Steeles Ave E Brampton ON  Canada,9057934035 
Canadian Metalworking ,80 Valleybrook Drive Toronto ON  Canada,4165105225
HOERBIGER FineStamping Inc ,555 Parkside Drive Waterloo ON  Canada,5197720951
ABC Technologies Inc ,2 Norelco Drive Toronto ON  Canada,4162461782
Constellium Rolled Products ,859 Century Road Ravenswood,3042736564
Lanex Manufacturing Inc ,5000 Walker Road Windsor ON  Canada,5197371088 
Basic Tool Inc ,2045 Halford Drive Windsor ON  Canada,5197371060
Magna International Inc ,Corporate Headquarters 337 Magna Drive Aurora ON  Canada,9057262462 
CanaDatum ,55 Goldthorpe Avenue Toronto ON  Canada,4162521212
FGL Precision Works Inc ,475 Fenmar Drive Toronto ON  Canada,6472881212
Commercial Spring and Tool Company Limited ,160 Watline Avenue Mississauga ON  Canada,9055683899 
JDL Technical Services ,7136 William St Comber ON  Canada,5199197391
Applanix ,85 Leek Crescent Richmond Hill ON Canada,2896956019
DME of Canada Ltd ,6210 Northwest Drive Mississauga ON  Canada,9056776370
Martinrea International Inc ,3210 Langstaff Road Vaughan ON  Canada,4167490314 
Canada Mold Technology Inc ,1075 Ridgeway Rd Woodstock ON,4162521212
Finkl Steel ,1355 E 93rd St Chicago,7739752150
ABC Technologies Inc ,2 Norelco Drive Toronto ON  Canada,4162461782
Constellium Rolled Products ,859 Century Road Ravenswood,3042736564
Lanex Manufacturing Inc ,5000 Walker Road Windsor ON  Canada,5197371088 
Basic Tool Inc ,2045 Halford Drive Windsor ON  Canada,5197371060
Dynaplas Ltd ,380 Passmore Avenue Toronto ON  Canada,4162933855 
Cap Thin Molds ,940 Meyerside Drive MississaugaON  Canada, 9055647424
Hub International Ontario Limited ,3063 Walker Road Windsor ON  Canada,5199662600
Acerta Analytics Solutions Inc ,151 Charles St W 199 Kitchener ON  Canada,5197997232
Contents Processing Centre ,4500 North Talbot Rd Tecumseh ON  Canada,5197370322
Laval International ,4965 Concession Rd 8 Maidstone ON,5197371323
Comoldco Corporation ,137 Arrow Road Guelph ON  Canada,5192243703
Jesse Garant  Associates Metrology Center ,1160 Walker Road Windsor ON  Canada,5199625300
ArcelorMittal Dofasco Hamilton ,P O Box 2460 1330 Burlington St E Hamilton ON  Canada,8003632726 
DMS ,1875 Blackacre Drive Oldcastle ON  Canada,5197376743
Marwood Metal Fabrication Limited ,35 Townline Road Tillsonburg ON  Canada,5196881144 
Canadian IPG ,1895 Blackacre Drive Oldcastle ON  Canada,5199161106
Hematite Manufacturing ,659 Speedvale Avenue West Guelph ON  Canada,5198231141 
Concours Mold Inc ,465 Jutras Dr South Windsor ON  Canada,5197279949
KLG Molds ,16 Tideman Drive Unit 1 Orangeville ON  Canada,5199428388
Arlen Tool Co Ltd ,3305 Deziel Drive Windsor ON  Canada,5199444444
DME of Canada Ltd ,6210 Northwest Drive Mississauga ON  Canada,9056776370
Martinrea International Inc ,3210 Langstaff Road Vaughan ON  Canada,4167490314 
Canada Mold Technology Inc ,1075 Ridgeway Rd Woodstock ON,4162521212
Finkl Steel ,1355 E 93rd St Chicago,7739752150
Comoldco Corporation ,137 Arrow Road Guelph ON  Canada,5192243703
Jesse Garant  Associates Metrology Center ,1160 Walker Road Windsor ON  Canada,5199625300
ArcelorMittal Dofasco Hamilton ,P O Box 2460 1330 Burlington St E Hamilton ON  Canada,8003632726 
DMS ,1875 Blackacre Drive Oldcastle ON  Canada,5197376743
Marwood Metal Fabrication Limited ,35 Townline Road Tillsonburg ON  Canada,5196881144 
Canadian IPG ,1895 Blackacre Drive Oldcastle ON  Canada,5199161106
FGL Precision Works Inc ,475 Fenmar Drive Toronto ON  Canada,6472881212
Georgian College of Applied Arts  Technology ,Centre for Automotive Parts Expertise Engineering Technology Division 1 Georgian Drive Barrie ON  Canada,7057281968 
Metelix Products Inc ,1900 Clark Blvd Unit 13 Brampton ON  CANADA,9054580025
Metric Mold 1983 Inc ,2045 Astor Crescent RR 1 Oldcastle ON  Canada,5197371311
MetriCan Stamping Co Inc ,1380 Artisans Court Burlington ON  Canada,9053323200
Mitchell Plastics ,100 Washburn Drive Kitchener ON  Canada,5198933831
MoldSpec Inc ,429 Dewitt Rd Unit 8 Stoney Creek ON  Canada,9056642776
Mega Mold International Inc ,8025 Anchor Drive Windsor ON   Canada,5199795111
Megatel Inc ,5290 Brendan Road Windsor ON  Canada,5199823631
Papp Plastics  Distributing Ltd ,6110 Morton Industrial Parkway Windsor ON  Canada,5197341112
Patrick Plastics Inc ,1495 Denison St Markham ON  Canada,9056609066
Platinum Tool Technologies ,2075 Fasan Drive Oldcastle ON  Canada,5197371611
Papp Plastics  Distributing Ltd ,6110 Morton Industrial Parkway Windsor ON  Canada,5197341112
Patrick Plastics Inc ,1495 Denison St Markham ON  Canada,9056609066
Platinum Tool Technologies ,2075 Fasan Drive Oldcastle ON  Canada,5197371611
MoldTech Canada ,2221 Ambassador Drive Windsor ON  Canada,5199699670
NARMCO GROUP THE ,3238 Marentette Ave Windsor ON  Canada,5199693351
Nova Tool  Mold Inc ,5100 Halford Drive Windsor ON  Canada,5197377137
Raufoss Automotive Components Canada GP ,4050 Rue Lavoisier Boisbriand QC  Canada,4504194911
Redoe Mold Company Limited ,665 Morton Drive Windsor ON  Canada,5197346161
Progressive Components ,235 Industrial Drive Wauconda,8474871000
Promation Automotive A Division of Promation Engineering Ltd ,2767 Brighton Road Oakville ON  Canada,9056256093
Raufoss Automotive Components Canada GP ,4050 Rue Lavoisier Boisbriand QC  Canada,4504194911
Redoe Mold Company Limited ,665 Morton Drive Windsor ON  Canada,5197346161
SHW Pumps  Engine Components Inc ,175 Sun Pac Boulevard Brampton ON  Canada,9057900999
Siemens Canada Limited ,1577 North Service Road Oakville ON Canada,9054658000
Sinteris Inc ,325 Chatham Street North Blenheim ON  Canada,5196768161
SleCo Plastics Inc ,1425 Creamery Road London ON  Canada,5194513748
Sorel Forge Inc ,2 Blair Drive Brampton ON  Canada,9054572501
Spartan Sling Manufacturing ,2565 Binder Cres Oldcastle ON  Canada,5197378633
Speciality Innovations and Mfg Maxtech Licensee Co ,173 Roger Street Waterloo ON  Canada,5198855336
Rocand Inc ,2511 boul du ParcTechnologique SainteFoy QC  Canada,4186569917
Siemens Canada Limited ,1577 North Service Road Oakville ON Canada,9054658000
Sinteris Inc ,325 Chatham Street North Blenheim ON  Canada,5196768161
SleCo Plastics Inc ,1425 Creamery Road London ON  Canada,5194513748
Windsor Mold Group ,444 Hanna St E Windsor ON  Canada,5192583475
Woodbridge Group The ,4240 Sherwoodtowne Boulevard Mississauga ON  Canada,9058963626
Zip Mold Inc ,100 Gibson Drive Markham ON  Canada,9059460700
Sturdell Industries Inc ,1907 Albion Road Toronto ON  Canada,4166752025
Superior Tool  Mold Inc ,1665 Moro Drive Windsor ON  Canada,5197377370
Synergetic Eng Inc ,5327 Brendan Lane Oldcastle ON  Canada,5199030303
Toolplas Systems Inc ,1905 Blackacre Drive Oldcastle ON  Canada,5197379948
TRQSS Inc ,255 Patillo Road RR 1 Tecumseh ON  Canada,5199737400
TST Tooling Software Technology ,6547 Dixie Hwy Suite 1 Clarkston,2489229293
Unique Tool  Gauge Inc ,1505 Moro Drive Windsor ON  Canada,5197371159
Windsor Mold Group ,444 Hanna St E Windsor ON  Canada,5192583475
Advanced Technology Emission Solutions Inc ,200 Longwood Road South Suite 224 Hamilton ON  Canada,9055802000
AlphaKOR Group ,1670 Mercer Street Windsor ON  Canada,5199446009
American Industries Group ,1 Dundas St W Suite 2110 Toronto ON,6476737676
BDO Canada LLP ,123 Front St W Suite 1200 Toronto ON  Canada,4168650210
City of Brampton ,2 Wellington Street West Brampton ON  Canada,9058742660
CN Rail ,65 Devon Road Brampton ON  Canada,9057894580
City of Brampton ,2 Wellington Street West Brampton ON  Canada,9058742660
CN Rail ,65 Devon Road Brampton ON  Canada,9057894580
Collins Barrow Windsor LLP ,3260 Devon Drive Windsor ON  Canada,5192585800
Combined Metal Industries CMI ,505 Garyray Drive Toronto ON  Canada,4167437730
Aon ,20 Bay Street Toronto ON  Canada,4168685852
CW Bearing Canada Inc ,250 Consumers Road 310 Toronto ON  Canada,4168063283
Arent Fox LLP ,1717 K Street NW,2028578940
AutoForecast Solutions LLC ,243 Byers Road Chester Springs,8557344590
Automotive Centre of Excellence – UOIT ,2000 Simcoe St N Oshawa ON  CANADA,9057218668
EDC – Export Development Canada ,150 Slater Street Ottawa ON  Canada,8002952528
Grande International Services ,1501 S Cage Pharr,9565789808
Group Sector Canada Inc ,1455 Drummond Street Montreal QC  Canada,5147987436
GroupHEALTH Benefit Solutions ,20556 Bryne Drive BarrieON  CANADA,8887193077
Dickinson Wright LLP ,199 Bay St Suite 2200 Commerce Court West Toronto ON  Canada,4167770101
Henkel Canada Corporation ,2515 Meadowpine Blvd Mississauga ON  Canada,8002635043
Dovercourt Management Corporation ,354 Humberline Drive Toronto ON  CANADA,4162131706
HRSflow ,4510 Rhodes Drive Unit 530 Windsor ON  Canada,5199730212
EASi Engineering Services ,350 Burnhamthorpe Rd W Suite 800 Mississauga ON  CANADA,9052831407
EDC – Export Development Canada ,150 Slater Street Ottawa ON  Canada,8002952528
Epicor Software Corporation ,18101 Van Karman Ave Suite 1600 Irvine,9495854000
HRSflow ,4510 Rhodes Drive Unit 530 Windsor ON  Canada,5199730212
EASi Engineering Services ,350 Burnhamthorpe Rd W Suite 800 Mississauga ON  CANADA,9052831407
Italian Chamber of Commerce of Ontario ,622 College St Suite 201F Toronto ON  CANADA,4167897169
Offshore Group The ,8350 E Old Vail Road Tucson,5205746208
KPMG ,4100 Yonge Street Suite 200 Toronto ON  Canada,4162287000
PBL Insurance Limited ,150 Ouellette Place Windsor ON  Canada,5192541633
KUKA Robotics Canada ,6710 Maritz Dr Unit 4 Mississauga ON  Canada,9056708600
Phantom Intelligence Inc ,319 Rue Franquet Les Rivières Ville de Québec CommunautéUrbainedeQuébec QC,4186506518
Laurentian Bank of Canada ,130 Adelaide West Suite 300 Toronto ON  Canada,6472274705
Plex Systems ,900 Tower Dr Suite 1400 Troy,2483918001
McMaster University ,1280 Main St W Hamilton ON  Canada,9055259140
Mentor Works Ltd ,151 Savage Drive Unit 5B Cambridge ON  CANADA,5194978584
Mohawk College ,Box 2034 Fennell Avenue  West 5th Hamilton ON  Canada,9055752417
International SewRight ,6190 Don Murie Street Niagara Falls ON  CANADA,9053743600
Niagara Region – Economic Development ,2201 St Davids Road West 3rd Floor Campbell East Thorold ON  Canada,9059806000
Italian Chamber of Commerce of Ontario ,622 College St Suite 201F Toronto ON  CANADA,4167897169
Offshore Group The ,8350 E Old Vail Road Tucson,5205746208
KPMG ,4100 Yonge Street Suite 200 Toronto ON  Canada,4162287000
PBL Insurance Limited ,150 Ouellette Place Windsor ON  Canada,5192541633
Studio 63 Inc ,2235 Robertson Road Ottawa ON  CANADA,6138684484
University of Waterloo – WatCAR ,Waterloo Centre for Automotive Research 200 University Ave W Waterloo ON  Canada,5198884555
Sherrard Kuzz LLP ,Employment  Labour Lawyers 250 Yonge Street Suite 3300 Toronto ON  Canada,4166030700
University of Windsor ,401 Sunset Avenue Windsor ON  Canada,5192533000
SME ,7100 Woodbine Ave Suite 312 Markham ON  CANADA,9057524415
St Clair College of Applied Arts  Technology ,2000 Talbot Road West Windsor ON  Canada,5199722780
Studio 63 Inc ,2235 Robertson Road Ottawa ON  CANADA,6138684484
Technical Management Consultants Inc ,1608 Sylvester Drive Unit 1 Tecumseh ON  Canada,5197392319
Tianhe Mechanical Manufacturing Co Ltd ,Tieling City Hightech Development Zone Liaoning Province CHINA,862 478861319
Topbin Insurance Solutions ,44 Saltsman Dr 100 Cambridge ON  Canada,8776339566
Rosati Group ,6555 Malden Road Windsor ON  Canada,5197346511
University of Windsor ,401 Sunset Avenue Windsor ON  Canada,5192533000
SME ,7100 Woodbine Ave Suite 312 Markham ON  CANADA,9057524415
St Clair College of Applied Arts  Technology ,2000 Talbot Road West Windsor ON  Canada,5199722780
Studio 63 Inc ,2235 Robertson Road Ottawa ON  CANADA,6138684484
Technical Management Consultants Inc ,1608 Sylvester Drive Unit 1 Tecumseh ON  Canada,5197392319
WindsorEssex Economic Development Corporation ,700 California Ave Suite 200 Windsor ON  Canada,5192559200
Vox ISM Inc ,36 Glengowan Rd Toronto ON  Canada,4164884899
Waterloo EDC ,260 King Street West Suite 201 Kitchener ON  Canada,5197472541 ext 300
Wells Fargo Equipment Finance ,2300 Meadowvale Blvd Mississauga ON  Canada,9058585497
Willis Towers Watson ,175 Bloor Street East South Tower Suite 1701 Toronto ON  Canada,4169607495
ACE – Ontario Tech University ,BLANK,BLANK
Canada Mold Technology Inc ,1075 Ridgeway Rd Woodstock ON,4162521212
Finkl Steel ,1355 E 93rd St Chicago,7739752150
Comoldco Corporation ,137 Arrow Road Guelph ON  Canada,5192243703
Jesse Garant  Associates Metrology Center ,1160 Walker Road Windsor ON  Canada,5199625300
Acerta Analytics Solutions Inc ,151 Charles St W 199 Kitchener ON  Canada,5197997232
Contents Processing Centre ,4500 North Talbot Rd Tecumseh ON  Canada,5197370322
Laval International ,4965 Concession Rd 8 Maidstone ON,5197371323
Blow Mold Tooling Inc ,2376 Lucknow Drive  Mississauga  ON  Canada,9056782341
Elliott – Matsuura Canada Inc ,2120 Buckingham Road Oakville ON  Canada,9058292211
Cavalier Tool  Manufacturing Ltd ,3450 Wheelton Drive Windsor ON  Canada,5199442144
INCOE Corporation ,1740 E Maple Rd Troy,2486160220
Acetronic Industrial Controls Inc ,7015 Ordan Drive Unit 6 Mississauga ON  Canada,9055647227
Cottam Diecasting Limited ,11886 County Road 42 Tecumseh ON  Canada,5199794783
Leemark Enterprises ,29771 Irish School Rd Dresden ON  Canada,5196834184
AGS Automotive Systems ,200 Yorkland Blvd Suite 800 Toronto ON  Canada,4164386650 
Crest Mold Technology Inc ,2055 Blackacre Drive Oldcastle ON  Canada,5197371546
Linamar Corporation ,287 Speedvale Avenue West Guelph ON  Canada,5198367550 
Bowman Precision Tooling ,55 Sinclair Blvd Brantford ON  Canada,5197526533
Enterprise Mold Ltd ,3270 Devon Drive Windsor ON  Canada,5192500707
Cimatron Technologies Inc ,41700 Gardenbrook Suite 100 Novi,2485969700
Integrity Tool and Mold Inc ,3651 Delduca Dr Oldcastle ON  Canada,5197372650
Airbus Helicopters Canada ,1100 Gilmore Road Fort Erie ON  Canada,9058717772
Crystallume ,3397 De La Cruz Blvd Santa Clara,4086531700
Longterm Technology Services Inc ,One London Place 255 Queens Ave Suite 1760 London ON,2267770162
KLG Molds ,16 Tideman Drive Unit 1 Orangeville ON  Canada,5199428388
Arlen Tool Co Ltd ,3305 Deziel Drive Windsor ON  Canada,5199444444
Dynamic Metal Treating Inc ,7784 Ronda Drive Canton Township,7344598022
Matcor Automotive Inc ,1620 Steeles Ave E Brampton ON  Canada,9057934035 
Canadian Metalworking ,80 Valleybrook Drive Toronto ON  Canada,4165105225
HOERBIGER FineStamping Inc ,555 Parkside Drive Waterloo ON  Canada,5197720951
ABC Technologies Inc ,2 Norelco Drive Toronto ON  Canada,4162461782
Constellium Rolled Products ,859 Century Road Ravenswood,3042736564
Lanex Manufacturing Inc ,5000 Walker Road Windsor ON  Canada,5197371088 
Basic Tool Inc ,2045 Halford Drive Windsor ON  Canada,5197371060
Magna International Inc ,Corporate Headquarters 337 Magna Drive Aurora ON  Canada,9057262462 
CanaDatum ,55 Goldthorpe Avenue Toronto ON  Canada,4162521212
FGL Precision Works Inc ,475 Fenmar Drive Toronto ON  Canada,6472881212
Commercial Spring and Tool Company Limited ,160 Watline Avenue Mississauga ON  Canada,9055683899 
JDL Technical Services ,7136 William St Comber ON  Canada,5199197391
Applanix ,85 Leek Crescent Richmond Hill ON Canada,2896956019
DME of Canada Ltd ,6210 Northwest Drive Mississauga ON  Canada,9056776370
Martinrea International Inc ,3210 Langstaff Road Vaughan ON  Canada,4167490314 
Canada Mold Technology Inc ,1075 Ridgeway Rd Woodstock ON,4162521212
Finkl Steel ,1355 E 93rd St Chicago,7739752150
ABC Technologies Inc ,2 Norelco Drive Toronto ON  Canada,4162461782
Constellium Rolled Products ,859 Century Road Ravenswood,3042736564
Lanex Manufacturing Inc ,5000 Walker Road Windsor ON  Canada,5197371088 
Basic Tool Inc ,2045 Halford Drive Windsor ON  Canada,5197371060
Dynaplas Ltd ,380 Passmore Avenue Toronto ON  Canada,4162933855 
Cap Thin Molds ,940 Meyerside Drive MississaugaON  Canada, 9055647424
Hub International Ontario Limited ,3063 Walker Road Windsor ON  Canada,5199662600
Acerta Analytics Solutions Inc ,151 Charles St W 199 Kitchener ON  Canada,5197997232
Contents Processing Centre ,4500 North Talbot Rd Tecumseh ON  Canada,5197370322
